Introduction to Information Technology	21712	CS 201	001	3	8:45	9:45	MWF	Ayers Hall 359	Lecture	Cynthia Gunter Jensen
Introduction to Information Technology	21713	CS 201	002	3	10:00	11:00	MWF	Ayers Hall 359	Lecture	Raghuramaiah Gompa
Introduction to Information Technology	21714	CS 201	003	3	11:15	12:15	MWF	Ayers Hall 359	Lecture	Raghuramaiah Gompa
Introduction to Information Technology	21715	CS 201	004	3	12:30	13:30	MWF	Ayers Hall 359	Lecture	Cynthia Gunter Jensen
Introduction to Information Technology	21716	CS 201	005	3	9:15	10:45	TR	Ayers Hall 359	Lecture	Raghuramaiah Gompa
Introduction to Information Technology	21718	CS 201	006	3	12:45	14:15	TR	Ayers Hall 359	Lecture	Cynthia Gunter Jensen
Introduction to Information Technology	21717	CS 201	007	3	11:00	12:30	TR	Ayers Hall 359	Lecture	Cynthia Gunter Jensen
Introduction to Information Technology	21719	CS 201	008	3	World Wide Web	Thomas D White
Introduction to Information Technology	21720	CS 201	009	3	World Wide Web	Cynthia Gunter Jensen
Fundamentals of Computing	21721	CS 230	001	3	10:00	11:00	MWF	Ayers Hall 355	Lecture	Monica Trifas
Fundamentals of Computing	21722	CS 230	002	3	World Wide Web	Sajib Datta
Computer Programming I	21723	CS 231	001	3	10:00	11:00	MWF	Ayers Hall 357	Lecture	TBA
Computer Programming I	21724	CS 231	002	3	11:00	12:30	TR	Ayers Hall 357	Lecture	Christopher Carroll Ogden
Computer Programming I	21725	CS 231	003	3	12:45	14:15	TR	Ayers Hall 357	Lecture	Christopher Carroll Ogden
Computer Programming II	21726	CS 232	001	3	12:30	13:30	MWF	Ayers Hall 357	Lecture	Christopher Carroll Ogden
Discrete Computational Structures	21727	CS 234	001	3	9:15	10:45	TR	Ayers Hall 357	Lecture	Christopher Carroll Ogden
Technical Writing for Computer Science	21728	CS 304	001	3	9:15	10:45	TR	Ayers Hall 355	Lecture	Cynthia Gunter Jensen
Spreadsheet Modeling	21729	CS 305	001	3	World Wide Web	Raghuramaiah Gompa
Embedded and Control Systems Security	21730	CS 308	001	3	13:45	14:45	MWF	Ayers Hall 214	Lecture	Jay W Snellen
Software Engineering I	21731	CS 310	001	3	11:15	12:15	MWF	Ayers Hall 259	Lecture	Jay W Snellen
Mangement Information Systems	21732	CS 311	001	3	11:00	12:30	TR	Ayers Hall 363	Lecture	TBA
Intro to Web Design	21733	CS 315	001	3	World Wide Web	Sajib Datta
Web Scripting	21734	CS 325	001	3	9:15	10:45	TR	Ayers Hall 363	Lecture	Jay W Snellen
Computer Organization and Architecture	21735	CS 333	001	3	9:15	10:45	TR	Ayers Hall 214	Lecture	S Krishnaprasad
Game Design I	21736	CS 339	001	3	10:00	11:00	MWF	Ayers Hall 259	Lecture	David C Thornton
Fundamentals of Computer Operating Systems	21737	CS 350	001	3	14:30	16:00	TR	Ayers Hall 214	Lecture	S Krishnaprasad
Mobile Application Development	21948	CS 408	001	3	12:45	14:15	TR	Ayers Hall 363	Lecture	Jay W Snellen
Computer Networking	21738	CS 450	001	3	16:30	18:00	TR	Ayers Hall 361	Lecture	Eric Adelaide Gamess
Ethics and Legal Issues	21739	CS 462	001	3	13:45	14:45	MWF	Ayers Hall 218	Lecture	Cynthia Gunter Jensen
Computer Security	21740	CS 470	001	3	World Wide Web	Eric Adelaide Gamess
Database Systems	21741	CS 488	001	3	11:00	12:30	TR	Ayers Hall 253	Lecture	Monica Trifas
Software Engineering II	21742	CS 491	001	3	12:30	13:30	MWF	Ayers Hall 259	Lecture	David C Thornton
Intermediate Algebra for Precalculus	20010	MS 100	001	3	8:45	9:45	MWF	Ayers Hall 214	Lecture	Jonathon Eric Beers
Intermediate Algebra for Precalculus	21854	MS 100	002	3	9:15	10:45	TR	Ayers Hall 114	Lecture	Jonathon Eric Beers
Intermediate Algebra for Precalculus	21855	MS 100	003	3	12:30	13:30	MWF	Ayers Hall 214	Lecture	Jonathon Eric Beers
Intermediate Algebra for Precalculus	21785	MS 100	100	3	8:45	11:00	MTWF	Houston Cole Library B03	Lecture	Curtis L Gladen
Finite Mathematics	22184	MS 110	001	3	10:00	11:00	MWF	Ayers Hall 118	Lecture	Clint Adam Stanley
Finite Mathematics	22186	MS 110	002	3	9:15	10:45	TR	Ayers Hall 118	Lecture	Vijaya L. Gompa
Finite Mathematics	22188	MS 110	003	3	11:00	12:30	TR	Ayers Hall 114	Lecture	Thomas E Leathrum
Finite Mathematics	22192	MS 110	004	3	12:45	2:15	TR	Ayers Hall 114	Lecture	Heather Black McDivitt
Finite Mathematics	21808	MS 110	005	3	World Wide Web	Amy Paige Franklin
